id,release_dates,name,category,slug,platforms,genres,tags,age_ratings,rating,rating_count,similar_games,themes,summary,involved_companies

121,2011,Minecraft,main_game,minecraft,"['Linux', 'PC (Microsoft Windows)', 'Mac']","['Simulator', 'Adventure']","['17', '21', '33', '35', '38', '268435469', '268435487', '536871010', '536871065', '536871304', '536871421', '536871422', '536871443', '536871458', '536871470', '536871489', '536871507', '536871535', '536871682', '536871889', '536871945', '536872015', '536872205', '536872245', '536872257', '536872307', '536872557', '536872622', '536872628', '536872928', '536873089', '536873092', '536873236', '536873364', '536873440', '536873833', '536874115', '536874542', '536874743', '536875046', '536875066', '536875122', '536875147', '536875159', '536875173', '536875185', '536875241', '536875253', '536875259', '536875267', '536875271', '536875304', '536875377', '536875427', '536875453', '536875492', '536875521', '536875629', '536875693', '536875699', '536875735', '536875753', '536875781', '536875791', '536875795', '536875802', '536875809', '536875830', '536875872', '536875941', '536876063', '536876121', '536876126', '536876220', '536876228', '536876229', '536876240', '536876260', '536876282', '536876299', '536876334', '536876435', '536876525', '536876571', '536876587', '536876632', '536876718', '536876748', '536876762', '536876948', '536877101', '536877211', '536877368', '536877565', '536877761', '536877910', '536878239', '536878314', '536878315', '536878322', '536878388', '536879957', '536880863', '536880960', '536882694', '536883271', '536883300', '536883675', '536887745', '536899967', '536902414']","['E10', 'Seven', 'CERO_A', 'USK_6', 'CLASS_IND_L', 'ACB_PG', 'GRAC_ALL']",84.54527935306501,1527,"['The Elder Scrolls V: Skyrim', 'Dishonored', 'Grand Theft Auto V', 'Tomb Raider', 'Terraria', 'The Witcher 3: Wild Hunt', 'Fez', 'Middle-earth: Shadow of Mordor', ""No Man's Sky"", 'The Legend of Zelda: Breath of the Wild']","['Fantasy', 'Survival', 'Sandbox', 'Kids', 'Open world']","Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.",['Mojang Studios']

135400,2018,Minecraft,port,minecraft--1,"['PC (Microsoft Windows)', 'Android', 'iOS', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Amazon Fire TV']","['Simulator', 'Adventure']","['1', '17', '21', '33', '35', '38', '41', '268435469', '268435487', '536872557', '536875194']","['Seven', 'E10', 'CERO_A', 'USK_6', 'GRAC_Twelve', 'CLASS_IND_L', 'ACB_PG']",79.00378789681534,66,"['Life is Feudal: Your Own', 'Rising World', 'Savage Lands', 'Force of Nature', 'Dude Simulator', 'My Time at Portia', 'The Elder Scrolls VI', 'The Elder Scrolls: Blades', 'Dude Simulator 2', 'Hytale']","['Action', 'Fantasy', 'Survival', 'Sandbox', 'Kids', 'Open world', '4X (explore, expand, exploit, and exterminate)']","Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.",['Mojang Studios']

119388,2023,The Legend of Zelda: Tears of the Kingdom,main_game,the-legend-of-zelda-tears-of-the-kingdom,['Nintendo Switch'],"['Role-playing (RPG)', 'Adventure']","['1', '17', '18', '38', '268435468', '268435487', '536870976', '536871422', '536871615', '536871670', '536872983', '536873121', '536873735', '536874345', '536875091', '536875304', '536877158', '536908983']","['CERO_B', 'GRAC_Twelve', 'CLASS_IND_Ten', 'E10', 'Twelve', 'USK_12', 'ACB_M']",96.98990141417849,129,"['Cyberpunk 2077', 'Borderlands 3', 'Immortal: Unchained', 'Dragon: Marked for Death', 'The Elder Scrolls VI', 'Eternity: The Last Unicorn', 'The Elder Scrolls: Blades', 'Remnant: From the Ashes', 'Torchlight III', 'Pokémon Shield']","['Action', 'Fantasy', 'Science fiction', 'Open world']",The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule.,"['Nintendo EPD Production Group No. 3', 'Monolith Soft', 'Nintendo']"
2744,2006,Big Brain Academy,main_game,big-brain-academy,"['Nintendo DS', 'Wii U']",['Puzzle'],"['1', '34', '268435465', '536871186', '536871830', '536871878', '536871906', '536875240', '536875434', '536876718', '536877528', '536881703', '536884018']","['E', 'Three', 'CERO_A']",57.98105561605945,8,"['Toby: The Secret Mine', 'Forgotton Anne', ""Don't Knock Twice"", 'Planet Alpha', 'Pikuniku', 'Blacksad: Under the Skin', 'Dream Alone', ""Master Jin Jin's IQ Challenge"", ""Grandpa's Workshop"", 'Mind Games']","['Action', 'Educational']","Big Brain Academy features 15 activities that test their brain powers in areas like logic, memory, math and analysis. Up to eight people can play with a single game card, and each activity takes less than a minute to complete.","['Nintendo EAD Software Development Group No.4', 'Nintendo', 'iQue']"
119295,2020,Microsoft Flight Simulator,main_game,microsoft-flight-simulator,"['PC (Microsoft Windows)', 'Xbox One', 'Xbox Series X|S']",['Simulator'],"['32', '268435469', '536870968', '536873753']","['E', 'Three', 'CERO_A']",93.51940186724127,52,"['House Flipper', 'Cooking Simulator', ""Jet de GO! Let's Go By Airliner"", ""Jet de GO! 2: Let's Go by Airliner"", 'Simstory: Live As You Wish', 'WWE 2K19', 'NBA 2K19', 'GeoFS', 'Easy Flight Simulator', 'Pro Flight Simulator']",['Non-fiction'],"Microsoft Flight Simulator is the next generation of one of the most beloved simulation franchises. From light planes to wide-body jets, fly highly detailed and stunning aircraft in an incredibly realistic world. Create your flight plan and fly anywhere on the planet. Enjoy flying day or night and face realistic, challenging weather conditions.","['Xbox Game Studios', 'Asobo Studio']"

18626,1993,Street Fighter II Turbo,main_game,street-fighter-ii-turbo,"['Wii', 'Xbox 360', 'Super Nintendo Entertainment System', 'Wii U', 'Arcade', 'Super Famicom', 'New Nintendo 3DS']",['Fighting'],"['1', '268435460', '536871353', '536898541', '536901279', '536901402', '536908274']","['Three', 'T', 'CLASS_IND_Twelve', 'CERO_B']",83.26772670470987,91,"['Super Mario World', 'Mega Man X', 'One Piece: Grand Battle!', 'CatFight: The Ultimate Female Fighting Game', 'My Hero Academia: Battle for All', 'Zoids Wild: Blast Unleashed', 'Anima: Gate of Memories - The Nameless Chronicles', 'Jump Force', 'Samurai Shodown', 'Ben 10: Battle Ready']",['Action'],"They're back and they're badder than ever! Faster, stronger and with all new moves, twelve of the greatest fighters from across the globe are ready to do battle! Choose your champion and get ready for the big brawl as they try to earn the right to battle M. Bison for the title. And just when you think you've mastered it all, crank it up a notch and go TURBO!","['Playtronic', 'Capcom']"
